,initial_ke,mid1_ratio,mid2_ratio,retardation,tof_min,tof_std
0,7.0,0.11248,0.1354,-1.0,0.26434,9.915032075772127e-05
0,76.0,0.11248,0.1354,-1.0,0.07638,2.2023589467069722e-05
0,9.0,0.11248,0.1354,-1.0,0.230016,9.335088210566136e-05
0,1.3,0.11248,0.2,-1.0,1.02885,0.00030207723819689714
0,1.6,0.11248,0.2,-1.0,0.76189,0.00021340744382457937
0,101.0,0.11248,0.2,-1.0,0.0662101,2.26646431904757e-05
0,13.0,0.11248,0.2,-1.0,0.188777,8.697953136946153e-05
0,151.0,0.11248,0.2,-1.0,0.0541239,1.6447576924436362e-05
0,17.0,0.11248,0.2,-1.0,0.163947,6.628934039457868e-05
0,2.0,0.11248,0.2,-1.0,0.608118,0.00021453405647437555
0,26.0,0.11248,0.2,-1.0,0.131601,5.359374540943053e-05
0,3.0,0.11248,0.2,-1.0,0.444075,0.00018477803068559366
0,301.0,0.11248,0.2,-1.0,0.038335,9.63351598342623e-06
0,5.0,0.11248,0.2,-1.0,0.32094,0.00011699715692524105
0,51.0,0.11248,0.2,-1.0,0.0933969,3.579709228328668e-05
0,7.0,0.11248,0.2,-1.0,0.264337,0.00010061384289670811
0,76.0,0.11248,0.2,-1.0,0.0763794,2.6583002660329645e-05
0,9.0,0.11248,0.2,-1.0,0.230014,0.00010815210736558556
0,1.3,0.11248,0.3,-1.0,1.02857,0.00030267988784164914
0,1.6,0.11248,0.3,-1.0,0.761778,0.0002201297571777086
0,101.0,0.11248,0.3,-1.0,0.0662104,2.280422600768259e-05
0,13.0,0.11248,0.3,-1.0,0.188776,8.306433206366799e-05
0,151.0,0.11248,0.3,-1.0,0.0541239,1.8661639489534897e-05
0,17.0,0.11248,0.3,-1.0,0.163946,7.24879297370145e-05
0,2.0,0.11248,0.3,-1.0,0.608055,0.00019245317939142365
0,26.0,0.11248,0.3,-1.0,0.1316,5.72269627100135e-05
0,3.0,0.11248,0.3,-1.0,0.444051,0.00014606033948884014
0,301.0,0.11248,0.3,-1.0,0.0383346,9.311281771947176e-06
0,5.0,0.11248,0.3,-1.0,0.320931,0.0001199842428271342
0,51.0,0.11248,0.3,-1.0,0.0933967,3.736128296420595e-05
0,7.0,0.11248,0.3,-1.0,0.264332,0.00010313954589568859
0,76.0,0.11248,0.3,-1.0,0.0763793,2.6939931428928934e-05
